ID,Date,Location Name,Tweet,Quoted Tweet Text,Tweet Sentiment Score,Tweet Sentiment Magnitude,Location
1.22E+18,1/27/2020,"Zulia, Venezuela","Min. @AlvaradoC_MPPS: El coronavirus es una mutación que tiene el 85% de los virus anteriores, con nuevas propiedades. Este virus produce una enfermedad respiratoria aguda viral.
@CarnetDLaPatria 
@ConElMazoDando 
@VTVcanal8 
https://t.co/qfte98xV53",,0,0.800000012,"10.0437564,-72.2191181"
1.22E+18,1/27/2020,Cuba,"#Cuba refuerza medidas de vigilancia y control en fronteras, ante nuevo #coronavirus  (+ Infografías) https://t.co/HsDVsjJOHM",,0.100000001,0.100000001,"23.0131338,-80.8328748"
1.22E+18,1/27/2020,CDMX,"*Coronavirus ataca*
-Netflix: Qué causalidad, acabo de estrenar un documental que se llama Pandemia 😐",,0.100000001,0.100000001,"19.4326296,-99.1331785"
1.22E+18,1/27/2020,"Lima, Peru","Bueno a según el coronavirus ya llego a Perú, eso es todo amigos, ya fue 😷",,0.300000012,0.300000012,"-12.0621065,-77.0365256"
1.22E+18,1/27/2020,Ciudad de México,"#21Noticias | Reconoce #OMS que el #coronavirus representa un riesgo alto para el mundo; lo corrige de moderado a alto. Aquí los detalles. 👇
1221945910021640193,2020-01-27 23:59:42,""Xalapa, Veracruz de Ignacio de la Llave","Ya cuando el bicho mata más que la gripe española es porque no hay nada más letal que eso... ¿Ven cómo aumentan losnpuntitos negros?
1221945903457566720,2020-01-27 23:59:40,Sonora ,@andreavillamon Jajajajajjajajajaja pinche coronavirus,
1221945885745086464,2020-01-27 23:59:36,Venezuela,""#ALERTA #Coronavirus Son 18 países con al menos un caso confirmado a la fecha:
🇺🇸 EEUU
🇨🇳 China
🇯🇵 Japón
🇰🇷 Corea del Sur
🇸🇬 Singapur
🇹🇼 Taiwán
🇹🇭 Tailandia
🇻🇳 Vietnam
🇭🇰 Hong Kong
🇫🇷 Francia
🇱🇰 Sri Lanka
🇲🇾 Malasia
🇦🇺 Australia
🇩🇪 Alemania
🇳🇵Nepal
🇰🇭 Camboya
🇲🇴 Macao
🇨🇦 Canadá",0.200000003,0.800000012,"19.4326296,-99.1331785"
1.22E+18,1/27/2020,Punto Fijo,"Están las ""chem-trails"" detrás de los coronavirus...?",,0.200000003,0.200000003,"11.6925865,-70.2015372"
1.22E+18,1/27/2020,"Buenos Aires, Argentina","@Alejoo_salas No entiendo cómo pueden comer esas cosas así, se merecen el Coronavirus",,0.400000006,0.400000006,"-34.6075682,-58.4370894"
1.22E+18,1/27/2020,Perú,"#AhoraEsNoticia #27Ene | 4 casos sospechosos de Coronavirus en Perú, declaran infundado pedido de prisión preventiva a conductor de camión cisterna que causó incendio en VES, Frepap y Acción Popular regresan al Congreso y Heresi se retira de la política ► https://t.co/4j6KK8dxv6 https://t.co/KVs1axEBCk",https://t.co/gPuaXvHNnN,0,0,"-6.8699697,-75.0458515"
1.22E+18,1/27/2020,Medellín,Alcaldía de Medellín adopta medidas para prevenir casos de Coronavirus https://t.co/QCbSRZeRuE,,0.200000003,0.200000003,"6.2443382,-75.573553"
1.22E+18,1/27/2020,Dominican Republic,Conozca las medidas adoptadas por embajada de China en RD como respuesta al coronavirus https://t.co/fq7DpIXBbH https://t.co/aBomnirZIk,,0,0,"19.0974031,-70.3028026"
1.22E+18,1/27/2020,"Valledupar, Colombia",Pareja abandonó a sus hijos antes de un vuelo porque sospecha de coronavirus https://t.co/0HfJq90JUN,,-0.200000003,0.200000003,"10.4650361,-73.2528426"
1.22E+18,1/27/2020,CDMX,"#ULTIMAHORA 
Con Alemania, hasta este momento se sabe que el coronavirus ha llegado a 18 naciones, en México todos los posibles infectados han resultado negativo.
https://t.co/TKS39eIQMD",,0,0.699999988,"19.4326296,-99.1331785"
1.22E+18,1/27/2020,aregua-paraguay,"ÚLTIMA HORA
Perú informa de cuatro pacientes bajo sospecha de contagio por coronavirus",,0.100000001,0.100000001,"-25.3129449,-57.3852339"
1.22E+18,1/27/2020,"Bogotá, D.C., Colombia","Aquí puedes ver los lugares ya confirmados con coronavirus y los que están en sospecha...
Coronavirus - https://t.co/1L2NWGcHxl",,0.300000012,0.699999988,"9.3412629,-74.4950717"
1.22E+18,1/27/2020,"Valle De La Pascua, Venezuela",VIDEO: Wuhan se convierte en una ciudad fantasma tras el cierre por el coronavirus - RT https://t.co/TfjE2rCkgD,,0,0,"9.2139083,-66.0065129"
1.22E+18,1/27/2020,Caracas - Venezuela,#ENDeportes El coronavirus obliga a suspender los Juegos Nacionales de Invierno https://t.co/QI5o7XAdJ8  https://t.co/Tw76Mct58e,,-0.300000012,0.300000012,"10.506098,-66.9146017"
1.22E+18,1/27/2020,Chile,"Ciudad de Wuhan en China construirá otro hospital réplica del SARS para tratamiento del nuevo Coronavirus
https://t.co/azpYwwJzOi https://t.co/yZ1jabJAyN",,0.100000001,0.100000001,"-31.7613365,-71.3187697"
1.22E+18,1/27/2020,Guatemala,Perú informa de cuatro pacientes bajo sospecha de contagio por coronavirus https://t.co/WFWL4OAbN0,,0,0,"15.6356088,-89.8988087"
1.22E+18,1/27/2020,Guayaquil-Ecuador,Ecuador informa de un sospechoso de coronavirus en Quito https://t.co/jTdK5iIsVi,,0,0,"-2.1899066,-79.887726"
1.22E+18,1/27/2020,Paraguay,Ahora vamos a tener que usar trajes espaciales para no contagiarnos con dengue o coronavirus https://t.co/9nIlz9vNkc,"De China a Paraguay: 35 personas llegaron, el virus incuba en 15 días, hay alerta https://t.co/2IpZdcqM2q",0,0,"-23.3165935,-58.1693445"
1.22E+18,1/27/2020,"Cataluña, España","Sanidad activa el protocolo por un posible caso de coronavirus en Alicante.
https://t.co/VJiOFZrSJ9 vía @ABC_CValenciana",,0.300000012,0.699999988,"41.8523094,1.5745043"
