"ID","Date","Location","Tweet","Quoted Tweet Text",,,
"1222670741541457925","2020-01-29 23:59:55","Inaccessible Island","BREAKING:  Evidence/footage of the *next* potential pandemic has been leaked.  Could this be the next patient zero?
https://t.co/QKh9Bi57qP",,,,
"1222670698012741632","2020-01-29 23:59:45","Coeur D Alene, Idaho","Asian males are 5X more susceptible to Corona. What country has too many men due to a 1 child policy?
https://t.co/AQYazMnQTV",,,,
"1222670696481902592","2020-01-29 23:59:44","California, USA","@CIFSS Girls Water Polo
King 7 - 1 Corona, End 2
Big VIII Carousel 
@pressenterprise @PEcom_preps @CallMeEPJ @USAWP #waterpolo #cifss @MlkWolves @BigVIIILeague @CoronaAthletics",,,,
"1222670669655281671","2020-01-29 23:59:38","Toronto","@meinsoo @merry123459 Obviously, just as there are no effective antivirals. It's a Corona virus. We have been here before, and this does not mitigate the utter stupidity of the conservative MP, and the lack of fact checking.",,,,
"1222670633156468736","2020-01-29 23:59:29","kansas","How Viral Pandemic Benefits The Globalist Agenda | Zero Hedge https://t.co/Ko9yfEHLB2",,,,
"1222670620292460544","2020-01-29 23:59:26","Oxon Hill, MD","This trend finna come back full effect when that corona virus spreads 🥴 https://t.co/K18mBR7V7U",,,,
"1222670598788255744","2020-01-29 23:59:21","Los angeles","😂😂😂😂 I ain't taking no chances. 😂😂😂 R/P. the homie jamesL. @ Corona, California https://t.co/50Q3pd1CyC",,,,
"1222670576386560002","2020-01-29 23:59:16","Fort Lauderdale","@FlorkOfCows Oh no the Corona beer got flork",,,,
"1222670536175759363","2020-01-29 23:59:06","United States","@HeyGiug To help spread the Corona virus",,,,
"1222670509491359744","2020-01-29 23:59:00","Sydney, Australia","Amid the escalating headlines about the #coronavirus Tim Janes, Chair of the BCI, shares practical #pandemic response options for organizations. Follow the link to read more: https://t.co/oTLAIck5Zp https://t.co/4hNsDg7s2I",,,,
"1222670367384170497","2020-01-29 23:58:26","Buffy Lake, Ontario ","Remember the start with a penny and double it every day riddle?
In one week, youd have $1.28
In one month though, you'd have over $5 million.
Remember this when looking at the statistics on the Corona virus.",,,,
"1222670362191646721","2020-01-29 23:58:25","Berkeley, CA","apparently there’s a case of corona virus in Oakland. Is this real? https://t.co/XNpoT2T2qE",,,,
"1222670269925425152","2020-01-29 23:58:03","New York, NY","My mom told me I’m gonna get the corona virus because I want sushi....wut...",,,,
"1222670268604137472","2020-01-29 23:58:02","San Francisco, CA","@Crypto_Bitlord I’m long on Corona Virus",,,,
"1222670245497856000","2020-01-29 23:57:57","Jamaica","More Corona virus memes and images from the far east! I will keep posting Corona Virus memes until the suspected case currently at UWI Hospital is confirmed or cleared #Jamaica #jamaican #jamaicanmemes #uwihospital… https://t.co/l1dgY69YCH",,,,
"1222670202900488195","2020-01-29 23:57:47","Cambridge, Ontario","*Goes to bar*
Bartender: what can I get for you?
You: Uhm a beer
BT: what kind of beer? 
You: corona but can you hold the virus and extra lyme 
BT: 🤦‍♀️",,,,
"1222670110306922496","2020-01-29 23:57:25","Southern California","The CDC estimates that 80k people in the US alone died of the flu last season. Contrast that with coronavirus. A new pandemic scare happens every few years, and honestly, I can't be arsed.",,,,
"1222670054384459776","2020-01-29 23:57:11","Reynosa, México ","@Realdevinhaney Do It",,,,
"1222670041394470913","2020-01-29 23:57:08","Phoenix, AZ","Humans are supposed to be smarter than this. 🤦🏻‍♂️
A Disturbing Number of People Think Coronavirus Is Related to Corona Beer - VICE https://t.co/5AtRjUYK5d",,,,
"1222670000411926528","2020-01-29 23:56:58","Arizona, USA","headed to asu to get a few cases of corona virus, anyone need?",,,,
"1222669997446660101","2020-01-29 23:56:58","Lebanon","its all fun and games till you’re infected by corona... stop joking about this shit its not funny :)",,,,
"1222669981667688448","2020-01-29 23:56:54","New Jersey, USA","Idc what you say I’m convinced the Chinese government released this “corona virus” for population control.",,,,
"1222669934276145153","2020-01-29 23:56:43","Sherman Oaks, Los Angeles","@dadetrading The virus is a big deal it has possibilities of making a pandemic. There independent reports that virus can travel through the eyes. There already been more cases in the U.S that are still investigated . In China it’s tripled its contagion. This situation needs be watched closely https://t.co/zo1P8RfSCc",,,,
"1222669871026200577","2020-01-29 23:56:28","Sycamore, IL","@brendacalc @BobEstesPGA I assume the spicy food is finally caught up calc?........ hopefully that Corona will settle the stomach!",,,,
"1222669828080586754","2020-01-29 23:56:17","Los Angeles, CA","@RivCoDoc Gross-negligence re/ this global pandemic. Still.",,,,
"1222669825199177730","2020-01-29 23:56:17","Italy","On Sept. 29-30, 2013, a magnetic filament of solar mater. erupted on the sun.
The 200,000 mile long filam. ripped through the sun's atmosphere, the corona, leaving behind what looks like a canyon of fire.
The imgs in this video were captured by NASA's SDO.
https://t.co/puu0r985rj https://t.co/H5SZH1wWXG",,,,
"1222669808904364032","2020-01-29 23:56:13","Columbus, OH","@WeNationalism @drnormanwho @Grampynotgrumpy @CDCgov He cut funding for pandemic monitoring in 2018 by 2/3rd's",,,,
"1222669797378293760","2020-01-29 23:56:10","Fremont, OH","@dandylione @_Deshawn__ She had the corona virus.",,,,
"1222669713450270720","2020-01-29 23:55:50","King City, CA","why isn’t anyone talking abt the four people who were tested for the corona virus in MONTEREY COUNTY??🤯😵",,,,
"1222669676439797760","2020-01-29 23:55:41","indiana","i cant get the corona virus i only drink modelo",,,,
"1222669661742997509","2020-01-29 23:55:38","Toronto, Ontario","I feel like I’m extra as hell wearing a mask but like I AM NOT CATCHING NO CORONA VIRUS. REPEAT AM.NOT. Y’all who don’t protect yourself can enjoy it",,,,
"1222669629564293120","2020-01-29 23:55:30","Las Piñas City, PH","If only the Corona Virus will not last long because it is Made in China.",,,,
