"ID","Date","Location","Tweet","Quoted Tweet Text",,
"1221945982222553088","2020-01-27 23:59:59","Zulia, Venezuela","Min. @AlvaradoC_MPPS: El coronavirus es una mutación que tiene el 85% de los virus anteriores, con nuevas propiedades. Este virus produce una enfermedad respiratoria aguda viral.
@CarnetDLaPatria 
@ConElMazoDando 
@VTVcanal8 
https://t.co/qfte98xV53",,,
"1221945979710197760","2020-01-27 23:59:58","Cuba","#Cuba refuerza medidas de vigilancia y control en fronteras, ante nuevo #coronavirus  (+ Infografías) https://t.co/HsDVsjJOHM",,,
"1221945975503278081","2020-01-27 23:59:57","CDMX","*Coronavirus ataca*
-Netflix: Qué causalidad, acabo de estrenar un documental que se llama Pandemia 😐",,,
"1221945929302974464","2020-01-27 23:59:46","Lima, Peru","Bueno a según el coronavirus ya llego a Perú, eso es todo amigos, ya fue 😷",,,
"1221945924362088449","2020-01-27 23:59:45","Ciudad de México","#21Noticias | Reconoce #OMS que el #coronavirus representa un riesgo alto para el mundo; lo corrige de moderado a alto. Aquí los detalles. 👇
1221945910021640193,2020-01-27 23:59:42,""Xalapa, Veracruz de Ignacio de la Llave","Ya cuando el bicho mata más que la gripe española es porque no hay nada más letal que eso... ¿Ven cómo aumentan losnpuntitos negros?
1221945903457566720,2020-01-27 23:59:40,Sonora ,@andreavillamon Jajajajajjajajajaja pinche coronavirus,
1221945885745086464,2020-01-27 23:59:36,Venezuela,""#ALERTA #Coronavirus Son 18 países con al menos un caso confirmado a la fecha:
🇺🇸 EEUU
🇨🇳 China
🇯🇵 Japón
🇰🇷 Corea del Sur
🇸🇬 Singapur
🇹🇼 Taiwán
🇹🇭 Tailandia
🇻🇳 Vietnam
🇭🇰 Hong Kong
🇫🇷 Francia
🇱🇰 Sri Lanka
🇲🇾 Malasia
🇦🇺 Australia
🇩🇪 Alemania
🇳🇵Nepal
🇰🇭 Camboya
🇲🇴 Macao
🇨🇦 Canadá",,
"1221945885183090688","2020-01-27 23:59:36","Punto Fijo","Están las ""chem-trails"" detrás de los coronavirus...?",,,
"1221945883488673792","2020-01-27 23:59:35","Buenos Aires, Argentina","@Alejoo_salas No entiendo cómo pueden comer esas cosas así, se merecen el Coronavirus",,,
"1221945878325317632","2020-01-27 23:59:34","Perú","#AhoraEsNoticia #27Ene | 4 casos sospechosos de Coronavirus en Perú, declaran infundado pedido de prisión preventiva a conductor de camión cisterna que causó incendio en VES, Frepap y Acción Popular regresan al Congreso y Heresi se retira de la política ► https://t.co/4j6KK8dxv6 https://t.co/KVs1axEBCk","https://t.co/gPuaXvHNnN",,
"1221945875032944641","2020-01-27 23:59:33","Medellín","Alcaldía de Medellín adopta medidas para prevenir casos de Coronavirus https://t.co/QCbSRZeRuE",,,
"1221945869869518848","2020-01-27 23:59:32","Dominican Republic","Conozca las medidas adoptadas por embajada de China en RD como respuesta al coronavirus https://t.co/fq7DpIXBbH https://t.co/aBomnirZIk",,,
