ID,Date,Location,Tweet,Quoted Tweet Text
1325427382027575297,2020-11-08 13:18:07,日本,うっ、増えてきた https://t.co/KFnUhwG3Tl,Bengals Place DB Mackensie Alexander &amp; LB Jordan Evans On COVID-19 List https://t.co/FF1DyjApDo https://t.co/M9MMSAC9Ky
1325427465871745024,2020-11-08 13:18:27,tokyo,"対談連載：withコロナの心理学
懸念される日本の国力低下について「教育」の視点からお伝えした前回に続き、
今回は「労働」をテーマにお話させていただいております。
#心理学 #コロナ #covid_19

コロナで進む国力低下、克服の鍵は報われぬ庶民の脱「学習性無力感」 https://t.co/yqS7jbgzpL",
1325427598848000000,2020-11-08 13:18:59,横浜市,"これ、地震速報知みたいなもんです。
人工呼吸器を必要とする重症covidが当院過去最高です。",
1325427612525621250,2020-11-08 13:19:02,千葉 船橋市,特設サイト 新型コロナウイルスの特徴｜各研究機関の最新研究 WHOや厚生労働省の調査報告｜NHK   https://t.co/xQblAPra9v,
1325427679680630792,2020-11-08 13:19:18,三重県,"現行の行政制度、都構想、広域一元化、どの制度にも、一長一短あります。
制度は、いくらいじっても「虚しい儀式の繰り返し」
そんな事ぐらい大半の政治家は既に気付いているはずです。制度論を語る議員にご注意を。
コロナ対策、景気対策、中小企業支援を、大阪府市の地方議員「全員に」求めましょう https://t.co/EnlWC83XVI","新型コロナ　大阪府で169人感染確認　直近2週間で拡大傾向
#関西テレビ #カンテレ #ニュース #新型コロナ #感染拡大 #コロナ 
 https://t.co/psXsJZMReH"
1325427708810113024,2020-11-08 13:19:25,大阪,"あなたは、この狂った社会にどう立ち向かいますか？
＃コロナ　＃ワクチン https://t.co/jAIcQfSDOi",
1325427826338623488,2020-11-08 13:19:53,秋田県秋田市,新型コロナ 症状の報告 100種類以上あることが明らかに 脳や神経に関する症状も多く 世界のおよそ20万本の研究論文をNHKがAIで分析  11月8日（日）の番組で詳しくお伝えします #nhk_news  #NHKスペシャル https://t.co/As8bT3EADw,
1325427863986696194,2020-11-08 13:20:02,東京都,"本日もツイートのみで失礼します。
目次から。
それぞれについては、この後にスレッド形式でツイートします。
1) 肥満はCOVID-19の感染および重症化因子である
2) 北海道は4日連続100人超。日本全国も急増フェーズに。
3) バイデン氏はまず｢コロナ対策を行う｣と",
1325427868524949505,2020-11-08 13:20:03,Japan,病院大変そう #コロナ,
1325427884631056384,2020-11-08 13:20:07,沼津市 内浦,"11月8日(日)、沼津市にて13例目（県内750例目）となる新型コロナウイルス感染者が確認されました。
https://t.co/I5GWFKREb7
市民の皆様には、３つの密の回避、マスクの着用、石けんによる手洗いや手指消毒用アルコールによる消毒や咳エチケットの励行などをお願いします。
https://t.co/RlsJSP59t2 https://t.co/cVNb5Cv3yD",
1325427984539344896,2020-11-08 13:20:31,hyogo JAPAN,いま、NHKでAIを使って世界中で執筆されたCOVID-19に関する英語論文を分析するというのを放送していて、マスク着用に関する検証結果が興味深かった。マスク着用により感染を防げるだけではなく、感染しても重症化を少なくし、さらに摂取ウイルスが微量なため免疫を作ることができるというもの。,
1325428021470371841,2020-11-08 13:20:40,"Sendling, München",現在、ドイツには航空交通はありませんが、多くのcovid病気の症例があります。 それでは、新しい首都空港を祝いましょう。 🙄,
1325428029867384833,2020-11-08 13:20:42,日本,"迫り来る不況に備えて副業しませんか？
FXなら少ない資金からでも始められる海外口座がオススメ！

取引するなら絶対XM !!

今なら全員に3000円分のボーナスが貰えます⬇️

XM レバレッジ最大888倍 追証なし 
https://t.co/YWgN7X5cnW
ドル円 ユーロ 豪ドル　米中　金利　 コロナ https://t.co/vUbQwl7OeG",
1325428054357798913,2020-11-08 13:20:48,Aichi Prefecture,【止まらない】週末から週明けまで数が減るが、今日は日曜日の18時半時点で、全国の感染者数は944人だ。東京189人、大阪140人、北海道153人、神奈川79人、沖縄30人と相変わらず感染は止まらない。危ないのは空港検疫19人もある。スカスカ政策でいいのか？https://t.co/r7yf5rr7EN,
1325428162063265792,2020-11-08 13:21:13,日本 北海道,"教育長官のベッツィー・デヴォス氏がコロナウイルスのパンデミックの中で賃金の差押えを訴えたhttps://t.co/1QQYqJy8pm沿って
@aarthiswami
 https :// https://t.co/3nscFVeAM6 https://t.co/eYBuk1eaY4",Education Secretary Betsy DeVos sued over wage garnishment amid coronavirus pandemic https://t.co/4MlIP00VqL by @aarthiswami https://t.co/Fw4MTgxQGg
1325428166979014656,2020-11-08 13:21:14,日本(神奈川),ウォール・ストリート・ジャーナル（WSJ）でも、大統領選挙に関しては「今のところ、結果の正当性に疑問を投げかける選挙管理の大きな失敗はありません。」と述べられている。あちらでは保守的なメディアですが。 https://t.co/3jRB8dfks2,
1325428169407520770,2020-11-08 13:21:15,TOKYO,"バイデン次期政権、悪化する一方のコロナ問題が最も早急に着手必要との認識から、コロナ対策の指針を構築開始とのこと。まずはファウチ博士と密に連絡を取り合い、これ以上の感染拡大を抑えたい由。大支援。

今の連邦政府は対策は州に丸投げ、アレはマスク無し三密推奨、大統領主席補佐官も感染した。 https://t.co/1cy4UX1ith","BREAKING: Biden's top health advisers say he’s already preparing an unprecedented, mid-pandemic transition of power that aims to reboot the federal government’s Covid-19 response.  https://t.co/6FWMAl9eBd"
1325428336164679681,2020-11-08 13:21:55,山梨県,"一人でも多くの人にコロナに対しての意識を高めてもらいたくて県から発表された感染者の情報を発信しています
みんなが予防意識を高めれば感染のリスクはかなり下がりますので今からでも遅くありません

#コロナ #コロナウイルス #コロナウィルス #新型肺炎 #山梨県 #山梨
https://t.co/k9z7BQUA6B",
1325428357182287872,2020-11-08 13:22:00,宮城県仙台市青葉区国分町2-8-15,"鹿児島県コロナ貯金は大切。お金は力になる。

#鹿児島県 #コロナ

https://t.co/wnVeIZzopo",
1325428482495586304,2020-11-08 13:22:30,東京都墨田区,"[Amazon発売！】
アイリスオーヤマ 超吸引 布団クリーナー ダニ・ちりセンサー搭載 たたき 約6000回/分 IC-FAC2
 #コロナ #紫外線
22時22分 https://t.co/S0T9ZU7iUV",
1325428530792992768,2020-11-08 13:22:41,福島県いわき市,"その回答は、
6時間30分目あたりから。

【Covid-19 S.H.P.】30th, 奥田修司さん（経済産業省、原子力発電所事故収束対策室長）『廃炉と復興  汚染水？処理水？どう考えて...
https://t.co/Z6Z1x8zymp",
1325428552766902272,2020-11-08 13:22:46,日本 北海道,"北海道ついに180人超へ 札幌市だけで130人超の見込み いずれも過去最多…新型コロナ感染急拡大

#コロナ #新型コロナウイルス #札幌市 #ススキノ #北海道 #北海道ニュースUHB

https://t.co/nIbFzgbTMV",
1325428580428361730,2020-11-08 13:22:53,California,"バイデン次期政権、悪化する一方のコロナ問題が最も早急に着手必要との認識から、コロナ対策の指針を構築開始とのこと。まずはファウチ博士と密に連絡を取り合い、これ以上の感染拡大を抑えたい由。大支援。

今の連邦政府は対策は州に丸投げ、アレはマスク無し三密推奨、大統領主席補佐官も感染した。 https://t.co/1cy4UX1ith","BREAKING: Biden's top health advisers say he’s already preparing an unprecedented, mid-pandemic transition of power that aims to reboot the federal government’s Covid-19 response.  https://t.co/6FWMAl9eBd"
1325428720430051328,2020-11-08 13:23:26,"Tokyo,Japan",COVIDに感染した患者を経時的に追跡すると、抗体レベルは2〜3か月以内にある程度低下するようです。しかし、それは感染したとき、または初めて予防接種を受けたときに起こることなので、それは警報の原因ではありません。抗体レベルは最初の数週間以内にピークに達し、その後数ヶ月で低下します。,
1325428721340219392,2020-11-08 13:23:27,山梨県南アルプス市,"・238例目は80代女性
・239,240例目は90代女性
で、3人とも231例目の濃厚接触者
・241例目は80代女性で231例目の接触者です。

それぞれの概要は、230-233例目の続報とあわせて、こちら▼をご覧ください。(2/2)

#新型コロナ #山梨県

https://t.co/k2QrsHs2QP",
1325428792047792133,2020-11-08 13:23:43,JAPAN Tokyo metropolitan area,米大統領選で当選確実となった民主党のバイデン前副大統領は7日夜、「今は辛らつな物言いをやめて、温度を下げるべき時です」、「今こそお互いを見つめて、お互いに耳を傾ける時です。今はアメリカを癒やす時です」と述べ、「私たちの仕事はCOVID-19を制御することから始まります」と呼びかけました。 https://t.co/wS2bCrmzpS,"“It’s time to put away the harsh rhetoric, lower the temperature... listen to each other again”

President-Elect Joe Biden: “For all those of you who voted for President Trump, I understand the disappointment tonight. I’ve lost a couple of times myself”

https://t.co/fVQ13KG8wT https://t.co/Hv7eWiP8bK"
1325428928303951872,2020-11-08 13:24:16,目黒区上目黒1-22-10,"T&amp;Mが企画協力しています！第一夜の進行はT&amp;M松本が担当。果たして猛獣のおふたりをどうするべきか、、、お楽しみに！

【イベント＆オンライン配信】M, Through the Pandemic　連続トークイベント | 代官山 T-SITE | 蔦 https://t.co/Eo7nzXmHRy",
1325428959887044609,2020-11-08 13:24:23,山梨　甲府,"・238例目は80代女性
・239,240例目は90代女性
で、3人とも231例目の濃厚接触者
・241例目は80代女性で231例目の接触者です。

それぞれの概要は、230-233例目の続報とあわせて、こちら▼をご覧ください。(2/2)

#新型コロナ #山梨県

https://t.co/k2QrsHs2QP",
1325428974483238913,2020-11-08 13:24:27,日本,"東京ドーム人体実験(感染実験)、本当に　やりやがった（言い過ぎ御免）💢

本日も決行とのこと（実数は2万7千人で3万4千人に及ばなかったことが救い）😱

ごく一部の御用医師・専門家、ヨイショ軍団、ネトウヨ以外…

日本中のまともな医師・専門家、全員反対💢👎🏻🙅🏻🙅🏻‍♀️

ふ・ざ・け・る・な💢💢 https://t.co/kPZEmLS8Cc","実証実験という名の人体実験（感染実験）再び😱

東京ドームで本日・明日（11/7・8）、巨人対ヤクルト戦で満席の80%の約34,000人の観客を入れ決行予定。

COVID-19 の感染拡大の中、換気の悪いドームで感染実験😢

東京の殆どの医療現場の声を無視した政府に怒りの鉄槌を…

ふ・ざ・け・る・な💢"
